epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4812,1.32339,3.0336,1.55441,0.00463,1,0.19212,0.13181,0.66542,2.86104,1.01423,8.335e-05,8.335e-05,8.335e-05
2,34.3016,1.21178,2.93468,1.42889,0.00462,1,0.37488,0.26287,0.81965,2.87995,1.19996,0.000181555,0.000181555,0.000181555
3,49.3443,1.13894,2.70748,1.39903,0.00463,1,0.53648,0.3431,0.86674,2.86755,1.26522,0.000277779,0.000277779,0.000277779
4,64.1769,1.10588,2.59436,1.38885,0.00462,1,0.4912,0.28907,0.99644,2.85286,1.32473,0.000372023,0.000372023,0.000372023
5,78.9613,1.16462,2.43196,1.50169,0.00462,1,0.53942,0.3237,1.08919,2.77428,1.49954,0.000464286,0.000464286,0.000464286
6,93.7423,1.0959,2.26961,1.42602,0.00462,1,0.4381,0.23245,1.43844,2.72849,1.63571,0.000554569,0.000554569,0.000554569
7,105.114,1.26255,2.25762,1.54017,0.00463,1,0.42318,0.22083,1.43219,2.70742,1.90859,0.000642872,0.000642872,0.000642872
8,117.865,1.2661,2.18451,1.52718,0.00467,1,0.33381,0.10604,1.63867,2.7783,2.31966,0.000729194,0.000729194,0.000729194
9,130.979,1.21116,2.08863,1.48218,0.19343,0.60606,0.33804,0.11856,1.77656,2.75102,2.29772,0.000813536,0.000813536,0.000813536
10,135.879,1.31861,2.00526,1.52733,0.44984,0.43182,0.45048,0.1631,1.89127,2.61908,2.30543,0.000895897,0.000895897,0.000895897
11,140.749,1.27562,2.02914,1.54216,0.56691,0.30303,0.42789,0.16705,2.01758,2.43013,2.36377,0.000976279,0.000976279,0.000976279
12,146.427,1.26237,1.88552,1.47992,0.37123,0.2197,0.22396,0.09669,2.47515,2.47397,2.67998,0.00105468,0.00105468,0.00105468
13,153.304,1.2746,1.9357,1.5058,0.59472,0.41766,0.53744,0.29929,1.58755,2.21272,2.08317,0.0011311,0.0011311,0.0011311
14,159.636,1.28208,1.80375,1.47923,0.21027,0.29545,0.25195,0.13923,2.07669,2.81726,2.37917,0.00120554,0.00120554,0.00120554
15,165.966,1.25646,1.8873,1.49198,0.31669,0.29545,0.34067,0.19759,2.1056,2.82908,2.46936,0.001278,0.001278,0.001278
16,171.208,1.25189,1.94886,1.51044,0.44725,0.46212,0.39803,0.15906,1.90063,2.68044,2.46144,0.00134848,0.00134848,0.00134848
17,176.449,1.28477,1.92454,1.54693,0.35017,0.29545,0.27211,0.10148,2.22482,2.9732,2.95145,0.00140295,0.00140295,0.00140295
18,181.65,1.37485,2.00592,1.65697,0.11832,0.34848,0.17358,0.06555,2.31031,2.96992,2.98795,0.00138644,0.00138644,0.00138644
