epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4468,1.34674,2.9347,1.51137,0.00745,0.93437,0.37734,0.25128,0.87271,2.80275,1.23714,0.0001667,0.0001667,0.0001667
2,63.7655,1.10843,2.61439,1.34553,0.00723,0.90208,0.37561,0.22743,0.89437,2.76948,1.30583,0.000346604,0.000346604,0.000346604
3,92.7643,1.11146,2.31817,1.35875,0.00718,0.90208,0.43141,0.26618,1.14986,2.64364,1.57232,0.000522878,0.000522878,0.000522878
4,121.88,1.1692,2.11204,1.40422,0.04282,0.88646,0.40295,0.24029,1.29681,2.47668,1.72122,0.000695521,0.000695521,0.000695521
5,150.678,1.21841,2.0016,1.47368,0.47828,0.1941,0.41322,0.24313,1.37611,2.35323,1.79527,0.000864533,0.000864533,0.000864533
6,179.508,1.2193,1.87384,1.45101,0.37084,0.49582,0.44841,0.24777,1.38425,2.05723,1.90175,0.00102991,0.00102991,0.00102991
7,208.332,1.16335,1.73296,1.38863,0.31851,0.31143,0.30232,0.10915,2.23471,2.5285,2.64834,0.00119166,0.00119166,0.00119166
8,237.363,1.25357,1.69718,1.4217,0.0639,0.18078,0.04273,0.01443,3.00973,3.49081,3.37847,0.00134978,0.00134978,0.00134978
9,266.107,1.21006,1.73208,1.37039,0.26024,0.41098,0.17464,0.0594,2.44276,2.88303,2.84871,0.00150427,0.00150427,0.00150427
10,294.918,1.17632,1.59293,1.38481,0.26918,0.25324,0.14953,0.04293,2.38831,2.89971,2.90156,0.00151847,0.00151847,0.00151847
11,323.732,1.24735,1.63643,1.42427,0.33268,0.42314,0.32384,0.15933,1.9802,2.6286,2.49794,0.00150197,0.00150197,0.00150197
12,352.514,1.21645,1.59717,1.40969,0.44493,0.36771,0.38907,0.23915,1.74034,2.60112,2.21269,0.00148546,0.00148546,0.00148546
13,381.303,1.19396,1.62592,1.39905,0.2816,0.33333,0.25367,0.14235,1.90947,2.74335,2.36404,0.00146896,0.00146896,0.00146896
14,410.082,1.21753,1.63767,1.42251,0.45166,0.59271,0.4739,0.25671,1.6229,2.18955,2.08913,0.00145246,0.00145246,0.00145246
15,438.861,1.21529,1.55144,1.40489,0.68667,0.42354,0.49214,0.24064,1.84019,2.15742,2.26269,0.00143595,0.00143595,0.00143595
16,467.661,1.1458,1.5344,1.36713,0.64996,0.54583,0.58905,0.31294,1.64293,1.76029,2.15373,0.00141945,0.00141945,0.00141945
17,496.391,1.14875,1.45421,1.37486,0.77138,0.46875,0.60936,0.31224,1.72402,1.88077,2.18669,0.00140295,0.00140295,0.00140295
18,525.218,1.14318,1.5136,1.39687,0.47836,0.56458,0.46228,0.24118,1.7298,2.02501,2.4703,0.00138644,0.00138644,0.00138644
19,553.965,1.16057,1.44343,1.35706,0.44333,0.63333,0.51556,0.24889,1.63895,1.81107,2.13786,0.00136994,0.00136994,0.00136994
20,582.729,1.19018,1.47047,1.39529,0.55071,0.6125,0.5727,0.2929,1.6436,1.76887,2.0666,0.00135344,0.00135344,0.00135344
21,611.469,1.15498,1.41276,1.37163,0.58849,0.54613,0.56423,0.29497,1.60696,1.75129,1.95984,0.00133693,0.00133693,0.00133693
22,640.299,1.13084,1.41087,1.36448,0.55374,0.56219,0.6087,0.37681,1.42019,1.61749,1.72638,0.00132043,0.00132043,0.00132043
23,669.164,1.10502,1.32589,1.31387,0.52441,0.63021,0.56126,0.32368,1.49905,1.70117,1.92961,0.00130393,0.00130393,0.00130393
24,697.928,1.10897,1.35327,1.31351,0.52189,0.64375,0.58087,0.34372,1.396,1.73342,1.80789,0.00128742,0.00128742,0.00128742
25,726.757,1.08731,1.30004,1.30229,0.61863,0.53854,0.60273,0.34988,1.47751,1.66198,1.85358,0.00127092,0.00127092,0.00127092
26,755.604,1.06073,1.28904,1.29378,0.53445,0.54792,0.52289,0.29838,1.59524,1.76938,1.98005,0.00125442,0.00125442,0.00125442
27,784.377,1.07919,1.35017,1.33252,0.74672,0.45417,0.56157,0.34847,1.45832,1.63779,1.8483,0.00123791,0.00123791,0.00123791
28,813.227,1.11156,1.32628,1.34487,0.75171,0.46979,0.58474,0.33601,1.41086,1.60415,1.80388,0.00122141,0.00122141,0.00122141
29,841.989,1.0472,1.25259,1.27752,0.66514,0.58021,0.55449,0.34165,1.52877,1.65174,1.86655,0.00120491,0.00120491,0.00120491
30,870.696,1.01942,1.23328,1.28419,0.69056,0.52369,0.54916,0.31713,1.55928,1.6971,1.81529,0.0011884,0.0011884,0.0011884
31,899.376,1.02627,1.2398,1.29089,0.78158,0.53438,0.63718,0.40347,1.39261,1.4899,1.68276,0.0011719,0.0011719,0.0011719
32,928.189,1.0158,1.21992,1.27407,0.64217,0.58392,0.61516,0.35758,1.40219,1.66263,1.72155,0.0011554,0.0011554,0.0011554
33,956.854,1.04105,1.22208,1.298,0.81375,0.59488,0.69334,0.44017,1.2788,1.31754,1.60723,0.00113889,0.00113889,0.00113889
34,985.579,1.02081,1.20164,1.29752,0.66173,0.58302,0.61092,0.38837,1.37339,1.4642,1.71097,0.00112239,0.00112239,0.00112239
35,1014.28,1.04998,1.19137,1.30274,0.72913,0.57919,0.63642,0.41814,1.39023,1.42175,1.74872,0.00110589,0.00110589,0.00110589
36,1043,1.03196,1.1927,1.28135,0.73042,0.52521,0.58547,0.37535,1.40978,1.73833,1.69119,0.00108938,0.00108938,0.00108938
37,1071.79,0.99936,1.1312,1.25985,0.68154,0.5616,0.60181,0.38914,1.39042,1.69648,1.6945,0.00107288,0.00107288,0.00107288
38,1100.65,1.0007,1.13833,1.27866,0.71744,0.53333,0.62816,0.38855,1.40937,1.48679,1.70741,0.00105638,0.00105638,0.00105638
39,1129.38,0.97063,1.09291,1.23976,0.70975,0.58125,0.64265,0.41102,1.42438,1.33488,1.70883,0.00103987,0.00103987,0.00103987
40,1158.11,0.95985,1.04273,1.2354,0.68393,0.57812,0.60546,0.39057,1.47705,1.51823,1.76475,0.00102337,0.00102337,0.00102337
41,1186.84,0.96053,1.06378,1.22667,0.51699,0.625,0.57537,0.34614,1.37851,1.56926,1.69522,0.00100687,0.00100687,0.00100687
42,1215.58,0.9249,1.0493,1.22324,0.65115,0.625,0.65904,0.4174,1.31866,1.44869,1.62468,0.000990365,0.000990365,0.000990365
43,1244.26,0.94534,1.0563,1.21681,0.63401,0.72585,0.67211,0.41964,1.4037,1.3277,1.73965,0.000973861,0.000973861,0.000973861
44,1273.05,0.92329,1.01405,1.21864,0.49721,0.63021,0.53389,0.32519,1.47315,1.52882,1.81165,0.000957358,0.000957358,0.000957358
