epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4153,1.29757,2.82383,1.49856,0.00747,0.93437,0.43847,0.26763,0.85009,2.7879,1.16843,0.00045009,0.00045009,0.00045009
2,26.2122,1.20223,2.41287,1.47147,0.71051,0.08495,0.37904,0.20383,1.2661,2.53103,1.53906,0.000903883,0.000903883,0.000903883
3,36.8895,1.37362,2.25535,1.57535,0.46457,0.46771,0.38479,0.21834,1.41872,2.16464,1.75038,0.00134447,0.00134447,0.00134447
4,47.4947,1.3261,2.10556,1.59777,0.40818,0.46721,0.37345,0.17285,1.54026,2.17559,1.99025,0.00159627,0.00159627,0.00159627
5,58.1027,1.37088,2.10913,1.5862,0.2895,0.42713,0.31152,0.18665,1.61875,2.35883,1.83623,0.0015727,0.0015727,0.0015727
6,68.7386,1.31459,1.99499,1.53556,0.21338,0.52917,0.3071,0.18731,1.26337,2.55055,1.5822,0.00154912,0.00154912,0.00154912
7,79.3668,1.36054,2.01735,1.58741,0.50962,0.46458,0.51558,0.31474,1.26711,2.04771,1.6721,0.00152554,0.00152554,0.00152554
8,89.9642,1.32122,1.98543,1.56776,0.34267,0.58395,0.48454,0.26802,1.42088,2.2823,1.81412,0.00150197,0.00150197,0.00150197
9,100.635,1.33625,1.93831,1.5388,0.42665,0.51146,0.40544,0.19873,1.41198,2.61457,1.77964,0.00147839,0.00147839,0.00147839
10,111.25,1.27278,1.88263,1.50909,0.46874,0.56112,0.46358,0.24034,1.30408,2.25911,1.81285,0.00145481,0.00145481,0.00145481
11,121.949,1.24211,1.87588,1.47441,0.52194,0.62813,0.56912,0.37582,1.31083,1.95015,1.68462,0.00143124,0.00143124,0.00143124
12,132.557,1.29801,1.80504,1.49832,0.60798,0.49828,0.55184,0.34497,1.381,1.93227,1.61267,0.00140766,0.00140766,0.00140766
13,143.126,1.32353,1.81866,1.51403,0.66586,0.55362,0.55966,0.31663,1.63051,2.08505,1.86088,0.00138409,0.00138409,0.00138409
14,153.677,1.24578,1.78281,1.46888,0.46804,0.64583,0.57531,0.34384,1.3338,1.90463,1.60239,0.00136051,0.00136051,0.00136051
15,164.239,1.13826,1.65249,1.39131,0.60586,0.55199,0.53241,0.32321,1.32233,1.78472,1.54506,0.00133693,0.00133693,0.00133693
16,174.87,1.17953,1.65186,1.43272,0.57116,0.62291,0.54943,0.30836,1.29124,1.75737,1.59877,0.00131336,0.00131336,0.00131336
17,185.387,1.17447,1.61216,1.42615,0.47603,0.57348,0.51447,0.29733,1.32593,1.83775,1.62268,0.00128978,0.00128978,0.00128978
18,196.038,1.18219,1.59921,1.40962,0.54287,0.55464,0.56771,0.35372,1.29915,1.64779,1.5479,0.00126621,0.00126621,0.00126621
19,206.691,1.20932,1.62671,1.44848,0.66656,0.58453,0.67271,0.41078,1.30462,1.4648,1.55944,0.00124263,0.00124263,0.00124263
20,217.369,1.1851,1.51717,1.40474,0.74437,0.55389,0.63555,0.3655,1.24074,1.54347,1.56613,0.00121905,0.00121905,0.00121905
21,227.961,1.19002,1.56299,1.40905,0.74171,0.53333,0.60743,0.36253,1.27421,1.513,1.59566,0.00119548,0.00119548,0.00119548
22,238.541,1.13884,1.49369,1.39928,0.77619,0.51771,0.62881,0.36362,1.36607,1.53082,1.60575,0.0011719,0.0011719,0.0011719
23,249.176,1.19543,1.53359,1.42025,0.77531,0.54383,0.60749,0.37014,1.39702,1.56951,1.60496,0.00114832,0.00114832,0.00114832
24,259.732,1.17126,1.53642,1.4094,0.65156,0.60998,0.65276,0.40647,1.21797,1.55013,1.49587,0.00112475,0.00112475,0.00112475
25,270.277,1.06447,1.38796,1.32731,0.62437,0.69913,0.70232,0.45416,1.17209,1.41685,1.45501,0.00110117,0.00110117,0.00110117
26,280.852,1.10288,1.42752,1.3783,0.61693,0.64271,0.67626,0.44966,1.18253,1.53788,1.4462,0.0010776,0.0010776,0.0010776
27,291.468,1.06827,1.44673,1.30687,0.80886,0.58153,0.68879,0.44592,1.11898,1.41434,1.4001,0.00105402,0.00105402,0.00105402
28,302.005,1.09948,1.41754,1.35692,0.76337,0.60085,0.7113,0.46837,1.13706,1.32616,1.4069,0.00103044,0.00103044,0.00103044
29,312.623,1.05934,1.3472,1.32134,0.63695,0.55847,0.61147,0.36782,1.37513,1.4408,1.64258,0.00100687,0.00100687,0.00100687
30,323.214,1.08914,1.34332,1.33104,0.69089,0.56241,0.6067,0.39072,1.34588,1.33604,1.63008,0.000983292,0.000983292,0.000983292
31,333.913,1.05332,1.34637,1.31816,0.70229,0.57042,0.62593,0.40444,1.26605,1.31086,1.52532,0.000959716,0.000959716,0.000959716
32,344.517,1.04816,1.35228,1.32399,0.64026,0.59792,0.61547,0.40678,1.29184,1.35271,1.53041,0.00093614,0.00093614,0.00093614
33,355.143,1.0499,1.3668,1.35509,0.70938,0.58125,0.61877,0.42121,1.25453,1.35455,1.50204,0.000912563,0.000912563,0.000912563
34,365.726,0.98702,1.28888,1.28285,0.8117,0.54792,0.67795,0.43896,1.09915,1.22794,1.43956,0.000888987,0.000888987,0.000888987
35,376.345,1.01876,1.2812,1.30282,0.74715,0.55,0.65345,0.42789,1.11413,1.32094,1.4398,0.000865411,0.000865411,0.000865411
36,386.953,1.02409,1.28695,1.28447,0.72975,0.63184,0.67405,0.41984,1.15338,1.3387,1.42434,0.000841835,0.000841835,0.000841835
37,397.546,0.98531,1.21159,1.26609,0.84541,0.58849,0.66727,0.42973,1.09694,1.34585,1.37583,0.000818259,0.000818259,0.000818259
38,408.073,1.01304,1.23168,1.29765,0.56541,0.66034,0.62075,0.39001,1.09836,1.42769,1.4254,0.000794683,0.000794683,0.000794683
39,418.639,1.02195,1.22822,1.27579,0.66453,0.63917,0.64234,0.4052,1.13677,1.27866,1.44997,0.000771107,0.000771107,0.000771107
40,429.249,0.98863,1.23427,1.28403,0.64878,0.68812,0.67962,0.44324,1.2385,1.22721,1.43345,0.00074753,0.00074753,0.00074753
41,439.849,0.98233,1.19151,1.27408,0.61688,0.62799,0.6503,0.43505,1.31684,1.33441,1.46724,0.000723954,0.000723954,0.000723954
42,450.427,0.94653,1.16804,1.23683,0.66724,0.675,0.69169,0.45618,1.1159,1.22706,1.4015,0.000700378,0.000700378,0.000700378
43,461.047,0.96707,1.13182,1.24879,0.71278,0.61354,0.68238,0.47068,1.14484,1.21696,1.44186,0.000676802,0.000676802,0.000676802
44,471.631,0.96409,1.1457,1.25042,0.7345,0.64519,0.68674,0.46516,1.0652,1.1309,1.39302,0.000653226,0.000653226,0.000653226
45,482.275,0.89632,1.09472,1.22748,0.67426,0.65938,0.70448,0.46199,1.10043,1.22229,1.40579,0.00062965,0.00062965,0.00062965
46,492.857,0.97257,1.13271,1.25088,0.64787,0.69804,0.71495,0.45715,1.10373,1.16968,1.3786,0.000606074,0.000606074,0.000606074
47,503.477,0.913,1.06224,1.20452,0.80725,0.61833,0.72689,0.48255,1.04462,1.00337,1.35095,0.000582497,0.000582497,0.000582497
48,514.058,0.9418,1.1201,1.21862,0.74637,0.6424,0.68227,0.45093,1.0437,1.03741,1.36136,0.000558921,0.000558921,0.000558921
