epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.744,1.27576,2.56298,1.58878,0.41129,1,0.5754,0.4757,0.72668,9.27153,1.00727,8.335e-05,8.335e-05,8.335e-05
2,398.662,1.18619,2.18254,1.55838,0.49982,0.82576,0.59051,0.3875,1.18576,6.57888,1.53861,0.000179739,0.000179739,0.000179739
3,570.903,1.09615,1.89478,1.38375,0.31827,0.81818,0.41832,0.19105,1.49415,11.9451,2.38572,0.000272168,0.000272168,0.000272168
4,737.351,1.21332,1.72661,1.48985,0.33298,0.56061,0.37745,0.188,1.9095,8.71317,2.93482,0.000360635,0.000360635,0.000360635
5,914.107,1.1956,1.65607,1.44216,0.27994,0.64394,0.38871,0.16238,1.83364,8.41693,2.68665,0.000445142,0.000445142,0.000445142
6,1091.77,1.34948,1.77677,1.56827,0.1658,0.65909,0.15782,0.04978,2.30735,11.9839,3.11642,0.000525688,0.000525688,0.000525688
7,1257.24,1.31535,1.76325,1.55384,0.18446,0.34848,0.35011,0.14836,2.33259,10.7233,3.7476,0.000602274,0.000602274,0.000602274
8,1428.57,1.26124,1.83563,1.5242,0.16617,0.46212,0.18339,0.07175,2.50049,14.6626,3.48814,0.000674898,0.000674898,0.000674898
9,1591.57,1.39197,1.92153,1.62311,0.2731,0.30303,0.17818,0.06528,2.75631,12.7294,3.97494,0.000743562,0.000743562,0.000743562
10,1753.73,1.42196,1.83023,1.66093,0.32954,0.34091,0.17024,0.08739,2.91739,19.5822,3.97431,0.000808265,0.000808265,0.000808265
11,1914.54,1.43139,1.72765,1.61289,0.14113,0.30303,0.20594,0.09019,3.00739,26.7079,4.90611,0.000869007,0.000869007,0.000869007
12,2075.59,1.50553,1.84258,1.72828,0.00724,0.57968,0.00579,0.00173,3.05895,823.329,19.6202,0.000925788,0.000925788,0.000925788
13,2236.39,1.38584,1.76882,1.60878,0.525,0.08333,0.02327,0.00738,3.55146,98.9203,12.1163,0.000978609,0.000978609,0.000978609
14,2397.36,1.47376,1.75498,1.64971,0.01043,0.30303,0.0044,0.00107,3.9126,197.567,12.0494,0.00102747,0.00102747,0.00102747
15,2557.45,1.50619,1.82831,1.70612,0.10927,0.25758,0.12111,0.04132,3.95912,29.9924,8.8462,0.00107237,0.00107237,0.00107237
16,2719.04,1.44003,1.8524,1.642,0.12176,0.51515,0.17761,0.07004,2.8331,35.663,5.30982,0.00111331,0.00111331,0.00111331
17,2879.37,1.45188,1.85183,1.65961,0.1,0.08333,0.03095,0.00924,3.72558,395.813,11.8515,0.00113889,0.00113889,0.00113889
18,3042.56,1.44908,1.77946,1.62128,0.1,0.08333,0.03095,0.00924,4.88432,5395.24,10.7469,0.00110589,0.00110589,0.00110589
19,3203.99,1.35882,1.73222,1.5822,0.00029,0.04545,0.00016,3e-05,3.972,1142.73,6.68393,0.00107288,0.00107288,0.00107288
20,3364.19,1.44098,1.82644,1.6211,0.00794,0.29545,0.04845,0.01869,2.82919,102.4,4.07845,0.00103987,0.00103987,0.00103987
21,3526.24,1.32879,1.76884,1.61769,0.01121,0.29545,0.00862,0.0035,2.70503,120.637,3.62417,0.00100687,0.00100687,0.00100687
22,3688.44,1.41613,1.75749,1.62964,0.00231,0.16667,0.0014,0.00045,3.70405,253.507,6.42074,0.000973861,0.000973861,0.000973861
23,3849.24,1.43969,1.71152,1.646,0.00111,0.12879,0.00061,0.00015,3.94683,1324.49,9.05867,0.000940855,0.000940855,0.000940855
24,4009.65,1.31342,1.71585,1.61353,0.0033,0.21212,0.0021,0.0006,2.70624,103.334,3.86349,0.000907848,0.000907848,0.000907848
25,4170.17,1.27782,1.7512,1.65506,0.54102,0.16667,0.05082,0.0191,2.35071,11.4431,3.5119,0.000874842,0.000874842,0.000874842
26,4330.03,1.30751,1.60503,1.56477,0.54139,0.08333,0.05197,0.04041,2.52184,9.79178,3.46624,0.000841835,0.000841835,0.000841835
27,4489.94,1.32223,1.77229,1.59501,0.63078,0.08333,0.05276,0.02505,2.53851,7.81199,3.24608,0.000808828,0.000808828,0.000808828
28,4649.77,1.30011,1.54071,1.5505,0.35168,0.38636,0.14786,0.04338,2.39934,6.48593,2.78788,0.000775822,0.000775822,0.000775822
29,4809.16,1.21179,1.50007,1.46709,0.35604,0.3822,0.19124,0.06648,2.09834,5.17891,2.5784,0.000742815,0.000742815,0.000742815
30,4970.14,1.16858,1.41138,1.48589,0.46554,0.38225,0.36481,0.13769,1.90902,3.33558,2.77492,0.000709809,0.000709809,0.000709809
31,5133.41,1.25575,1.52946,1.48513,0.32294,0.38636,0.22646,0.09688,2.08622,3.76921,3.01538,0.000676802,0.000676802,0.000676802
32,5293.88,1.14466,1.4101,1.43795,0.38883,0.42424,0.29372,0.17816,1.90796,4.04788,2.76819,0.000643795,0.000643795,0.000643795
33,5453.19,1.11691,1.33085,1.39208,0.56151,0.42424,0.33997,0.20844,1.97048,3.39824,2.7589,0.000610789,0.000610789,0.000610789
34,5613.64,1.11875,1.43841,1.43613,0.26602,0.34091,0.23431,0.11364,2.31847,2.90435,3.03123,0.000577782,0.000577782,0.000577782
35,5774.33,1.12555,1.34926,1.41285,0.41436,0.56061,0.44022,0.18992,2.22496,2.21161,3.16774,0.000544776,0.000544776,0.000544776
