epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3826,1.43927,2.9531,1.59547,0.00579,0.97368,0.14704,0.10043,0.85456,2.85523,1.21098,0.00011669,0.00011669,0.00011669
2,50.9123,1.17974,2.80055,1.41289,0.00552,0.91404,0.38241,0.23553,1.09965,2.85179,1.4197,0.000247575,0.000247575,0.000247575
3,72.9194,1.09944,2.56888,1.36626,0.00552,0.92105,0.37745,0.23607,1.18919,2.85216,1.56779,0.000375818,0.000375818,0.000375818
4,94.8503,1.10846,2.37784,1.38687,0.0053,0.88772,0.39573,0.22208,1.24653,2.79589,1.72521,0.000501422,0.000501422,0.000501422
5,116.839,1.24245,2.25088,1.48061,0.00565,0.91404,0.2635,0.09785,1.71405,2.79116,2.08662,0.000624385,0.000624385,0.000624385
6,138.979,1.29639,2.16993,1.55903,0.23056,0.57719,0.27436,0.126,1.74155,2.67791,2.24819,0.000744707,0.000744707,0.000744707
7,160.878,1.27844,2.0844,1.515,0.00521,0.8614,0.20838,0.0826,1.95249,2.82207,2.30295,0.000862389,0.000862389,0.000862389
8,182.761,1.22422,2.05158,1.50275,0.40891,0.27193,0.27543,0.14483,1.74623,2.47973,2.27635,0.00097743,0.00097743,0.00097743
9,204.703,1.21339,1.98021,1.48395,0.3877,0.47719,0.33077,0.14688,1.76853,2.28879,2.32367,0.00108983,0.00108983,0.00108983
10,226.554,1.19632,1.93298,1.46438,0.31232,0.29123,0.24839,0.08643,2.15283,2.61833,2.89141,0.00119959,0.00119959,0.00119959
11,248.383,1.26335,1.94378,1.50771,0.23669,0.41087,0.24984,0.12,1.6735,2.58288,2.26694,0.00130671,0.00130671,0.00130671
12,270.21,1.19861,1.84424,1.43612,0.27504,0.35088,0.26161,0.12291,1.81603,2.56089,2.32479,0.00141119,0.00141119,0.00141119
13,292.027,1.20524,1.80457,1.4606,0.23861,0.49649,0.22507,0.10445,1.7648,2.58205,2.06634,0.00146896,0.00146896,0.00146896
14,313.871,1.28081,1.83226,1.48624,0.21823,0.35088,0.21775,0.1212,1.92095,2.52722,2.25566,0.00145246,0.00145246,0.00145246
15,335.699,1.24963,1.82872,1.45484,0.27043,0.45789,0.30929,0.14284,1.97533,2.78936,2.46976,0.00143595,0.00143595,0.00143595
16,357.532,1.27008,1.78637,1.4416,0.30343,0.2193,0.28912,0.09314,2.06023,2.8964,2.50457,0.00141945,0.00141945,0.00141945
