epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3041,1.29757,2.82383,1.49856,0.00747,0.93437,0.43847,0.26763,0.85009,2.7879,1.16843,0.00045009,0.00045009,0.00045009
2,69.8214,1.19836,2.40734,1.46648,0.73514,0.1,0.35551,0.19639,1.22227,2.53274,1.55272,0.000907773,0.000907773,0.000907773
3,102.083,1.3361,2.2033,1.54391,0.42369,0.41457,0.40486,0.23056,1.41418,2.12726,1.84652,0.00135621,0.00135621,0.00135621
4,134.163,1.35291,2.09589,1.59157,0.34476,0.36407,0.35151,0.20596,1.48088,2.22048,1.84884,0.00161749,0.00161749,0.00161749
5,166.153,1.35146,2.05938,1.54902,0.35462,0.43229,0.27325,0.15713,1.58724,2.43535,1.80386,0.00160099,0.00160099,0.00160099
6,198.199,1.30329,1.96122,1.51635,0.55362,0.40313,0.42812,0.24194,1.40643,2.16587,1.72855,0.00158448,0.00158448,0.00158448
7,230.292,1.35092,1.94031,1.55158,0.39637,0.43542,0.40875,0.25564,1.52948,2.31522,1.86678,0.00156798,0.00156798,0.00156798
8,262.555,1.33737,1.95009,1.55497,0.40848,0.47917,0.33079,0.16999,1.7776,3.54848,2.23597,0.00155148,0.00155148,0.00155148
9,294.918,1.32201,1.86777,1.50557,0.41441,0.6625,0.49947,0.26223,1.43547,2.82928,1.82003,0.00153497,0.00153497,0.00153497
10,327.263,1.29617,1.87825,1.50982,0.44778,0.36354,0.34849,0.14696,1.82499,3.40366,2.20146,0.00151847,0.00151847,0.00151847
11,359.548,1.28881,1.89312,1.48796,0.48141,0.51354,0.53232,0.26205,1.48868,2.14428,1.80668,0.00150197,0.00150197,0.00150197
12,391.839,1.27431,1.80982,1.48636,0.72371,0.49318,0.55907,0.34415,1.28544,1.90778,1.60026,0.00148546,0.00148546,0.00148546
13,424.147,1.30677,1.86922,1.51616,0.55561,0.57917,0.57823,0.36118,1.34119,1.90281,1.59648,0.00146896,0.00146896,0.00146896
14,456.307,1.25623,1.80767,1.46194,0.53646,0.48021,0.52737,0.31819,1.33669,1.76856,1.59812,0.00145246,0.00145246,0.00145246
15,488.453,1.14941,1.65797,1.37518,0.36317,0.525,0.42152,0.26834,1.45507,2.09695,1.5882,0.00143595,0.00143595,0.00143595
16,520.582,1.19566,1.68615,1.42759,0.69492,0.48333,0.56688,0.33858,1.33923,1.6582,1.6131,0.00141945,0.00141945,0.00141945
17,552.752,1.19002,1.64789,1.43768,0.58977,0.56563,0.57368,0.34171,1.30323,1.71533,1.63213,0.00140295,0.00140295,0.00140295
18,584.947,1.20639,1.62493,1.41774,0.72351,0.52604,0.6529,0.40318,1.23837,1.82534,1.51929,0.00138644,0.00138644,0.00138644
19,617.103,1.23662,1.63514,1.45935,0.56433,0.67812,0.63694,0.37784,1.27097,1.73988,1.52284,0.00136994,0.00136994,0.00136994
20,649.281,1.19156,1.5465,1.41876,0.66981,0.62181,0.63099,0.39396,1.28909,1.74198,1.49952,0.00135344,0.00135344,0.00135344
21,681.413,1.19591,1.60337,1.41833,0.30167,0.59784,0.48383,0.29399,1.28849,2.06671,1.55721,0.00133693,0.00133693,0.00133693
22,713.574,1.17,1.52207,1.39973,0.47074,0.59357,0.48684,0.29463,1.41792,1.80748,1.65654,0.00132043,0.00132043,0.00132043
23,745.818,1.24871,1.59528,1.45742,0.71706,0.56667,0.62722,0.40775,1.28741,1.7069,1.5127,0.00130393,0.00130393,0.00130393
24,778.03,1.15681,1.5399,1.38794,0.88228,0.49544,0.65328,0.41711,1.22673,1.68808,1.47392,0.00128742,0.00128742,0.00128742
25,810.212,1.08015,1.4137,1.34699,0.72828,0.56458,0.70372,0.45617,1.29553,1.42816,1.52454,0.00127092,0.00127092,0.00127092
26,842.371,1.14054,1.48234,1.39625,0.62374,0.65938,0.66303,0.39087,1.35885,1.54605,1.62723,0.00125442,0.00125442,0.00125442
27,874.604,1.12482,1.5171,1.35363,0.66347,0.59482,0.67682,0.44779,1.21409,1.43287,1.48464,0.00123791,0.00123791,0.00123791
28,906.727,1.1549,1.4479,1.39207,0.65708,0.59138,0.6572,0.424,1.16374,1.4279,1.48993,0.00122141,0.00122141,0.00122141
29,937.099,1.11584,1.40286,1.37003,0.58882,0.67084,0.63405,0.41896,1.134,1.61132,1.44852,0.00120491,0.00120491,0.00120491
30,966.929,1.12155,1.3641,1.34538,0.68371,0.63056,0.67391,0.45059,1.24404,1.4252,1.58755,0.0011884,0.0011884,0.0011884
31,999.288,1.05606,1.32207,1.3169,0.66347,0.59688,0.679,0.45835,1.34848,1.41456,1.65086,0.0011719,0.0011719,0.0011719
32,1031.54,1.07154,1.34717,1.33753,0.75219,0.59073,0.65768,0.42877,1.4777,1.48748,1.61091,0.0011554,0.0011554,0.0011554
33,1063.89,1.08908,1.43031,1.37511,0.79721,0.57635,0.67443,0.44867,1.26885,1.536,1.54339,0.00113889,0.00113889,0.00113889
34,1096.25,1.0522,1.35178,1.31478,0.72179,0.65938,0.70279,0.44349,1.20632,1.54647,1.48624,0.00112239,0.00112239,0.00112239
35,1128.56,1.05024,1.32405,1.32369,0.71449,0.58716,0.67702,0.41765,1.16476,1.35512,1.47456,0.00110589,0.00110589,0.00110589
36,1160.94,1.0529,1.28999,1.30004,0.86127,0.50044,0.65239,0.41547,1.24776,1.45457,1.52163,0.00108938,0.00108938,0.00108938
37,1193.24,1.02222,1.29173,1.28438,0.70289,0.59583,0.68105,0.44461,1.19621,1.40146,1.43917,0.00107288,0.00107288,0.00107288
38,1225.56,1.05775,1.28242,1.3479,0.75778,0.58544,0.66259,0.44888,1.24698,1.32315,1.55309,0.00105638,0.00105638,0.00105638
39,1257.92,1.08882,1.2729,1.32695,0.63024,0.66042,0.67418,0.43483,1.25128,1.29974,1.46191,0.00103987,0.00103987,0.00103987
40,1290.27,1.0312,1.21763,1.30247,0.67205,0.59751,0.63527,0.41005,1.23162,1.42097,1.45249,0.00102337,0.00102337,0.00102337
41,1322.62,0.99979,1.1917,1.28869,0.80339,0.61146,0.68557,0.44887,1.22736,1.32685,1.44115,0.00100687,0.00100687,0.00100687
42,1354.96,0.9575,1.18959,1.25623,0.74487,0.62708,0.70955,0.47229,1.22515,1.21793,1.40015,0.000990365,0.000990365,0.000990365
43,1387.31,1.00056,1.16823,1.26754,0.85196,0.58333,0.71658,0.49057,1.26316,1.18419,1.4872,0.000973861,0.000973861,0.000973861
44,1419.67,1.01365,1.20854,1.28182,0.82151,0.6125,0.7223,0.48313,1.27321,1.2028,1.46901,0.000957358,0.000957358,0.000957358
45,1451.97,0.96336,1.16661,1.2689,0.82451,0.60878,0.71053,0.4531,1.30425,1.21172,1.54942,0.000940855,0.000940855,0.000940855
46,1484.25,1.02197,1.18766,1.28166,0.63806,0.69764,0.70086,0.43723,1.29033,1.20318,1.56889,0.000924352,0.000924352,0.000924352
47,1516.57,0.95635,1.0916,1.22356,0.6945,0.62813,0.66197,0.43069,1.26737,1.28068,1.5216,0.000907848,0.000907848,0.000907848
48,1548.91,0.99165,1.136,1.25599,0.81908,0.60644,0.66324,0.44314,1.29578,1.27258,1.53245,0.000891345,0.000891345,0.000891345
49,1581.29,0.97285,1.10818,1.24626,0.77125,0.59479,0.66409,0.44427,1.31887,1.35199,1.49616,0.000874842,0.000874842,0.000874842
