epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3327,1.22993,2.84345,1.4804,0.00708,0.88646,0.4402,0.26459,0.97187,2.80998,1.4064,0.000542437,0.000542437,0.000542437
2,30.1138,1.29545,2.51472,1.52063,0.52674,0.38646,0.38988,0.2325,1.3506,2.3543,1.71949,0.00107636,0.00107636,0.00107636
3,42.7499,1.43286,2.34133,1.60301,0.24329,0.27083,0.21631,0.0824,2.2848,2.81368,2.5435,0.00158828,0.00158828,0.00158828
4,55.5998,1.48784,2.28156,1.70781,0.4232,0.64583,0.41672,0.21638,1.4312,2.8817,1.8078,0.00156798,0.00156798,0.00156798
5,68.3301,1.4327,2.13713,1.61827,0.28987,0.53438,0.25358,0.12135,1.68204,2.85253,1.96275,0.00153497,0.00153497,0.00153497
6,81.0351,1.36326,2.09806,1.59476,0.38792,0.53542,0.39107,0.23809,1.52929,2.22506,1.86466,0.00150197,0.00150197,0.00150197
7,93.7483,1.38746,2.03611,1.58992,0.26667,0.56875,0.28492,0.12665,1.69758,2.84876,2.05611,0.00146896,0.00146896,0.00146896
8,106.404,1.38561,2.05561,1.60339,0.53117,0.38569,0.39331,0.20406,1.73551,2.41692,2.20003,0.00143595,0.00143595,0.00143595
9,119.183,1.26948,1.95083,1.50139,0.4594,0.47917,0.44981,0.26435,1.44553,2.64141,1.80809,0.00140295,0.00140295,0.00140295
10,132.154,1.27576,1.93712,1.50642,0.44071,0.62113,0.52551,0.32699,1.40277,2.18597,1.72094,0.00136994,0.00136994,0.00136994
11,144.864,1.25463,1.89596,1.50463,0.59699,0.56716,0.58063,0.37144,1.36342,2.15195,1.80245,0.00133693,0.00133693,0.00133693
12,157.609,1.28712,1.82941,1.47663,0.47242,0.59062,0.53621,0.31969,1.39634,2.07639,1.74286,0.00130393,0.00130393,0.00130393
13,170.237,1.21719,1.80138,1.45737,0.58937,0.5967,0.59211,0.326,1.43021,1.94757,1.87105,0.00127092,0.00127092,0.00127092
14,183.057,1.22734,1.76826,1.47161,0.5976,0.63229,0.60416,0.36619,1.24125,1.77131,1.78387,0.00123791,0.00123791,0.00123791
15,195.722,1.22174,1.70151,1.45094,0.54862,0.62396,0.57188,0.33803,1.24076,1.64027,1.65633,0.00120491,0.00120491,0.00120491
16,208.301,1.18226,1.68392,1.44354,0.62146,0.53229,0.56785,0.3456,1.30388,1.68336,1.62315,0.0011719,0.0011719,0.0011719
17,221.048,1.16288,1.64392,1.39509,0.61239,0.6166,0.66146,0.43858,1.21551,1.50898,1.59933,0.00113889,0.00113889,0.00113889
18,233.722,1.20268,1.65277,1.41691,0.72815,0.49627,0.59799,0.37315,1.24501,1.81804,1.68501,0.00110589,0.00110589,0.00110589
19,246.377,1.17124,1.63716,1.40693,0.50289,0.51538,0.4839,0.25376,1.31153,1.9271,1.70039,0.00107288,0.00107288,0.00107288
20,259.027,1.1329,1.64599,1.41161,0.64072,0.60635,0.67051,0.41028,1.30831,1.49443,1.66135,0.00103987,0.00103987,0.00103987
21,271.712,1.1703,1.6016,1.38439,0.60697,0.6625,0.67832,0.43359,1.29973,1.62074,1.58951,0.00100687,0.00100687,0.00100687
22,284.444,1.16215,1.64096,1.42506,0.65311,0.63021,0.65601,0.39258,1.25248,1.61963,1.64118,0.000973861,0.000973861,0.000973861
23,297.138,1.12042,1.52676,1.37291,0.77428,0.50417,0.63195,0.40586,1.21258,1.63119,1.55478,0.000940855,0.000940855,0.000940855
24,309.789,1.14469,1.52981,1.39635,0.66257,0.56875,0.65525,0.40058,1.31053,1.59838,1.59679,0.000907848,0.000907848,0.000907848
25,322.453,1.08646,1.46455,1.35276,0.62612,0.62943,0.65874,0.42616,1.32231,1.51421,1.59151,0.000874842,0.000874842,0.000874842
26,335.157,1.08506,1.50508,1.37452,0.69476,0.66146,0.71505,0.44723,1.23835,1.40462,1.57506,0.000841835,0.000841835,0.000841835
27,347.932,1.08239,1.47989,1.38091,0.65172,0.70105,0.68588,0.42901,1.23888,1.42879,1.62029,0.000808828,0.000808828,0.000808828
28,360.651,1.0976,1.50013,1.35714,0.7949,0.6125,0.73263,0.47305,1.22771,1.36588,1.55977,0.000775822,0.000775822,0.000775822
29,373.332,1.08422,1.40353,1.33391,0.72725,0.60759,0.72992,0.46681,1.29646,1.34697,1.68727,0.000742815,0.000742815,0.000742815
30,386.057,1.09058,1.41192,1.34745,0.84407,0.56354,0.73243,0.48239,1.20784,1.39457,1.54964,0.000709809,0.000709809,0.000709809
31,398.909,1.0567,1.35819,1.34416,0.86711,0.43958,0.64763,0.41936,1.25014,1.60255,1.57503,0.000676802,0.000676802,0.000676802
32,411.67,1.06837,1.34962,1.36204,0.7394,0.56692,0.69877,0.45532,1.24001,1.44096,1.55888,0.000643795,0.000643795,0.000643795
33,424.407,1.0392,1.41645,1.32741,0.87211,0.563,0.74296,0.48884,1.25043,1.3746,1.54102,0.000610789,0.000610789,0.000610789
34,437.208,1.06079,1.33587,1.34089,0.83989,0.5936,0.72361,0.47478,1.25946,1.40641,1.56289,0.000577782,0.000577782,0.000577782
35,449.884,0.98403,1.32127,1.3162,0.8018,0.60948,0.70244,0.46384,1.28184,1.43114,1.55748,0.000544776,0.000544776,0.000544776
36,462.631,1.00255,1.24361,1.29758,0.72692,0.69271,0.7425,0.48343,1.22338,1.24357,1.52327,0.000511769,0.000511769,0.000511769
37,475.314,1.01399,1.27433,1.27247,0.80062,0.68184,0.76429,0.49633,1.20454,1.16632,1.52654,0.000478762,0.000478762,0.000478762
