epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.377,1.29757,2.82383,1.49856,0.00747,0.93437,0.43847,0.26763,0.85009,2.7879,1.16843,0.00045009,0.00045009,0.00045009
2,26.226,1.18823,2.40308,1.46033,0.70319,0.1,0.37396,0.20053,1.24493,2.49858,1.45217,0.000898696,0.000898696,0.000898696
3,36.8844,1.36104,2.21413,1.55666,0.42098,0.46771,0.36458,0.2274,1.3427,2.16491,1.71249,0.00132882,0.00132882,0.00132882
4,47.5364,1.33634,2.14807,1.59032,0.48065,0.36875,0.31501,0.17307,1.43474,2.11124,1.76185,0.00156798,0.00156798,0.00156798
5,58.1979,1.38303,2.10881,1.59967,0.60604,0.5375,0.46682,0.24753,1.32513,2.02242,1.77945,0.00153497,0.00153497,0.00153497
6,68.7995,1.32154,1.99727,1.54878,0.30891,0.45,0.36914,0.18509,1.39851,2.5734,1.79276,0.00150197,0.00150197,0.00150197
7,79.4413,1.3318,1.98366,1.54921,0.46295,0.52462,0.49265,0.26668,1.37257,2.89804,1.86983,0.00146896,0.00146896,0.00146896
8,90.1903,1.31018,1.92956,1.54204,0.53691,0.46563,0.49858,0.27657,1.40384,2.20659,1.6743,0.00143595,0.00143595,0.00143595
9,100.814,1.29352,1.93004,1.49698,0.3771,0.53542,0.41687,0.23043,1.37551,1.96583,1.70301,0.00140295,0.00140295,0.00140295
10,111.442,1.28377,1.85237,1.49911,0.4788,0.41458,0.41658,0.20891,1.53247,2.24554,1.88484,0.00136994,0.00136994,0.00136994
11,122.177,1.25338,1.8227,1.47463,0.53368,0.41875,0.49105,0.29279,1.39813,2.11994,1.71459,0.00133693,0.00133693,0.00133693
12,132.855,1.29469,1.81888,1.51298,0.62334,0.41457,0.49405,0.3032,1.41192,2.19432,1.69366,0.00130393,0.00130393,0.00130393
13,143.473,1.28871,1.81002,1.49881,0.53045,0.38229,0.41177,0.26704,1.40542,2.27453,1.65837,0.00127092,0.00127092,0.00127092
14,154.152,1.23991,1.74055,1.45471,0.6889,0.56667,0.62756,0.37581,1.23926,1.76131,1.57972,0.00123791,0.00123791,0.00123791
15,164.751,1.11267,1.64105,1.38124,0.54941,0.49688,0.56208,0.33676,1.23437,1.89125,1.59144,0.00120491,0.00120491,0.00120491
16,175.422,1.15491,1.62174,1.41366,0.72133,0.55658,0.62836,0.37882,1.18561,1.75615,1.44914,0.0011719,0.0011719,0.0011719
17,186.177,1.14747,1.61851,1.41487,0.5005,0.5317,0.49312,0.29259,1.2861,2.08669,1.54053,0.00113889,0.00113889,0.00113889
18,196.888,1.1626,1.60312,1.40365,0.57321,0.54688,0.55048,0.38441,1.17059,1.63716,1.46247,0.00110589,0.00110589,0.00110589
19,207.515,1.18721,1.57777,1.43956,0.60046,0.59479,0.61573,0.39749,1.18887,1.58314,1.45567,0.00107288,0.00107288,0.00107288
20,218.16,1.11919,1.48859,1.36885,0.79683,0.53438,0.61817,0.4299,1.15878,1.73419,1.3839,0.00103987,0.00103987,0.00103987
21,228.826,1.14175,1.53108,1.37936,0.55508,0.58879,0.58995,0.36868,1.26166,1.89225,1.4576,0.00100687,0.00100687,0.00100687
22,239.446,1.0917,1.4499,1.34198,0.58636,0.62813,0.59773,0.37308,1.15153,1.5997,1.436,0.000973861,0.000973861,0.000973861
23,250.161,1.15123,1.50836,1.37423,0.69119,0.56761,0.62984,0.41876,1.1683,1.56769,1.39325,0.000940855,0.000940855,0.000940855
24,260.793,1.10763,1.45679,1.35559,0.65609,0.56308,0.59503,0.35474,1.35021,1.74663,1.52079,0.000907848,0.000907848,0.000907848
25,271.476,1.04682,1.34653,1.31069,0.67456,0.59152,0.65649,0.43824,1.1485,1.42708,1.39867,0.000874842,0.000874842,0.000874842
26,282.107,1.07684,1.43181,1.34595,0.72754,0.65949,0.72091,0.47873,1.13163,1.36312,1.39455,0.000841835,0.000841835,0.000841835
27,292.781,1.03565,1.41857,1.2968,0.70946,0.59167,0.64698,0.42425,1.15672,1.56691,1.41749,0.000808828,0.000808828,0.000808828
28,303.35,1.06466,1.39488,1.33411,0.7957,0.55822,0.67633,0.45962,1.09685,1.48686,1.39945,0.000775822,0.000775822,0.000775822
29,314.28,1.03966,1.33093,1.29636,0.75906,0.62604,0.70389,0.46758,1.03834,1.22621,1.41804,0.000742815,0.000742815,0.000742815
30,324.846,1.03643,1.27408,1.28864,0.81788,0.59173,0.71383,0.47611,1.13411,1.27073,1.46842,0.000709809,0.000709809,0.000709809
31,335.493,0.98126,1.29127,1.2739,0.75883,0.58693,0.66227,0.43923,1.26278,1.32848,1.51387,0.000676802,0.000676802,0.000676802
32,346.035,1.01175,1.26197,1.29063,0.56677,0.67708,0.66407,0.44335,1.16662,1.30272,1.43091,0.000643795,0.000643795,0.000643795
33,356.662,1.00754,1.30949,1.3208,0.58707,0.71146,0.69516,0.48069,1.07875,1.32455,1.38387,0.000610789,0.000610789,0.000610789
34,367.278,0.95917,1.23062,1.25742,0.80444,0.61354,0.72752,0.49674,1.04593,1.19974,1.351,0.000577782,0.000577782,0.000577782
35,377.838,0.94295,1.24435,1.25105,0.62152,0.68836,0.69142,0.49068,1.09672,1.24709,1.36413,0.000544776,0.000544776,0.000544776
36,388.509,0.96819,1.18373,1.24452,0.71767,0.62133,0.69448,0.44479,1.21611,1.25644,1.43733,0.000511769,0.000511769,0.000511769
37,399.155,0.93201,1.15857,1.22123,0.68378,0.66242,0.70265,0.44336,1.21288,1.21213,1.46613,0.000478762,0.000478762,0.000478762
38,409.721,0.94931,1.15947,1.25851,0.76733,0.65189,0.73236,0.46626,1.1333,1.16473,1.44711,0.000445756,0.000445756,0.000445756
39,420.365,0.97195,1.16937,1.24852,0.75356,0.63248,0.72288,0.47362,1.10914,1.13002,1.41759,0.000412749,0.000412749,0.000412749
40,431.185,0.9322,1.1158,1.23694,0.64147,0.68664,0.70762,0.46708,1.12795,1.09443,1.42717,0.000379743,0.000379743,0.000379743
