epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2498,1.28925,2.86038,1.46395,0.00733,0.91875,0.43623,0.29006,0.87334,2.80257,1.28934,0.0003334,0.0003334,0.0003334
2,57.6948,1.13212,2.45806,1.40002,0.00718,0.90208,0.42338,0.24782,1.11639,2.60045,1.59262,0.000669937,0.000669937,0.000669937
3,84.0633,1.24246,2.1992,1.474,0.71526,0.18333,0.37194,0.17048,1.62323,2.58614,2.23376,0.000992612,0.000992612,0.000992612
4,110.286,1.24025,2.04533,1.5197,0.5048,0.29688,0.32934,0.1685,1.63564,2.44915,2.01372,0.00130142,0.00130142,0.00130142
5,136.455,1.30314,1.95395,1.51074,0.36794,0.32815,0.27719,0.13029,1.68657,2.45364,2.0966,0.00153497,0.00153497,0.00153497
6,162.667,1.28813,1.93725,1.48967,0.46898,0.48438,0.44838,0.25842,1.74496,2.32924,2.1851,0.00150197,0.00150197,0.00150197
7,188.845,1.3013,1.89503,1.48301,0.43383,0.52452,0.41688,0.24347,1.57699,2.28451,2.06058,0.00146896,0.00146896,0.00146896
8,215.028,1.26707,1.87583,1.48527,0.42433,0.62917,0.46177,0.23367,1.59124,2.21914,2.03126,0.00143595,0.00143595,0.00143595
9,241.315,1.29014,1.82599,1.46822,0.68537,0.50104,0.60009,0.36482,1.46777,2.00855,1.84502,0.00140295,0.00140295,0.00140295
10,267.862,1.19979,1.68309,1.4237,0.60947,0.57834,0.61524,0.38127,1.506,2.2033,1.9208,0.00136994,0.00136994,0.00136994
11,294.079,1.22156,1.7584,1.44585,0.43508,0.59375,0.52751,0.30998,1.54151,2.13904,1.89769,0.00133693,0.00133693,0.00133693
12,320.299,1.19736,1.68321,1.41062,0.61367,0.57812,0.55205,0.35998,1.36451,2.04606,1.83675,0.00130393,0.00130393,0.00130393
13,346.524,1.11988,1.62427,1.35,0.72036,0.38324,0.48549,0.25247,1.63773,2.4737,2.00494,0.00127092,0.00127092,0.00127092
14,372.717,1.15558,1.62386,1.40652,0.57422,0.43338,0.45939,0.26112,1.57019,2.36784,1.97455,0.00123791,0.00123791,0.00123791
15,398.937,1.14829,1.53513,1.35956,0.58263,0.59479,0.61559,0.38548,1.35505,1.64156,1.86514,0.00120491,0.00120491,0.00120491
16,425.031,1.13245,1.53317,1.39215,0.6181,0.60938,0.63172,0.38716,1.34699,1.64208,1.83457,0.0011719,0.0011719,0.0011719
17,451.254,1.15658,1.55482,1.41336,0.47216,0.54461,0.53611,0.32734,1.46815,1.94097,1.87948,0.00113889,0.00113889,0.00113889
